"Country.Name","Country.Code","Year","forest_area_sqkm","forest_area_pct","tot_bilat_oda_commit","tot_bilat_secalloc_oda_commit","bilat_secalloc_oda_basicsocserv","pct_bilat_secalloc_oda_commit","net_oda_provided_leastdev","net_oda_provided_leastdev_pctgni","net_oda_provided_tot","net_oda_provided_pctgni","net_oda_provided_tot_2021dol","untied_bilat_oda_commit","untied_bilat_oda_commit_pct","debt_relief_committed_hipc","debt_relief_delivered_mdri","hipc_status","debt_relief_committed_hipc_mdri","net_oda_offaid_rcvd","net_oda_rcvd","net_oda_rcvd_pct_gni","net_oda_rcvd_percap","debt_service_pct","debt_service_ppg_imf_pct","gdp_per_energy","energy_use_pergdp","co2_emissions_kt","co2_emissions_percap","co2_emissions_by_gdp","pct_urban_pop_slums","pct_annual_freshwater_withdrawals","renew_freshwater_percap","pct_land_protected","pct_marine_protected","cellular_subscriptions","phone_subscriptions","internet_users","gross_cap_formation_pct_gdp","trade_pct_gdp","agri_support_pct_gdp","gni","gni_percap","ppp_conversion_gdp","ppp_conversion_private","lit_rate_15-24_female_pct","lit_rate_15-24_male_pct","lit_rate_15-24_total_pct","lit_rate_15_plus_pct","school_attend_ratio_orphans","school_enroll_primary_gross_gpi","school_enroll_primsec_gross_gpi","school_enroll_second_gross_gpi","school_enroll_tertiary_gross_gpi","primary_completion_rate_total","school_enroll_primary_pct","persistence_primary_female_pct","persistence_primary_male_pct","persistence_primary_total_pct","prim_enroll_rate","prop_women_parliament","condom_use_female_15-24_pct","condom_use_male_15-24_pct","condom_use_highrisk_female_15-49_pct","condom_use_highrisk_male_15-49_pct","aids_deaths","hiv_prevalence_total_15-49_pct","mortality_rate_under5","impr_water_access_pct","hiv_prevalence_female_15-24_pct","knowledge_hivaids_female_15-24_pct","knowledge_hivaids_male_15-24_pct","hiv_prevalence_male_15-24_pct","arv_coverage_rate","knowledge_hivaids_female_15-49_pct","knowledge_hivaids_male_15-49_pct","child_orphan_hivaids","immunization_measles_pct_12-23mos","malaria_nets_under5_pct","malaria_meds_under5_pct","impr_sanitation_access_pct","pregnant_prenatal_4visits_pct","pregnant_prenatal_pct","ari_trmt_under5_pct","births_skilled_pct","underweight_children_pct","malaria_cases","maternal_mortality_ratio","tb_trt_success_rate","tb_detect_rate","tb_incidence","tb_death_rate","incomeshare_20pct","poverty_headcount_ratio_pct","poverty_gap","poverty_gap_belowlines","poverty_pop_belowlines_pct","poverty_gap_rural_belowlines","poverty_pop_rural_belowlines_pct","poverty_gap_urban_belowlines","poverty_pop_urban_belowlines_pct","employ_pop_ratio_15-24_female","employ_pop_ratio_15-24_male","employ_pop_ratio_15-24_total","pct_women_nonagri_employ","self_employ_female_pct","self_employ_male_pct","self_employ_total_pct","employ_pop_ratio_15plus_female","employ_pop_ratio_15plus_male","employ_pop_ratio_15plus_total","vulnerable_employ_female_pct","vulnerable_employ_male_pct","vulnerable_employ_total_pct","contrib_workers_female_pct","contrib_workers_male_pct","contrib_workers_total_pct","gdp_per_employed","pct_undernourished","adol_fert_rate","contraceptive_married_women_15-49_pct","mortality_rate_infant","life_exp","fert_rate_total","pop_total","contraceptive_unmetneed_married_women_15-49_pct","tariff_free_imports_dev_pct","tariff_free_imports_leastdev_pct","tariffs_agri_dev","tariffs_agri_leastdev","tariffs_clothing_dev","tariffs_clothing_leastdev","tariffs_textile_dev","tariffs_textile_leastdev"
"Sub-Saharan Africa (excluding high income)","SSA",2011,6257189.9,26.190393504993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47284940000,47284940000,3.23774435690707,52.4279961375203,4.04422215369655,2.36531289502908,5.42057813162986,184.482166978621,757439.606440866,0.839824281491879,0.255046981148765,NA,NA,NA,NA,NA,52.2894181976741,1.3690511016383,8.37930322665795,20.2551010358191,66.5858616414518,NA,1273050775430.75,1411.51709481181,NA,NA,66.67205,76.28575,71.51441,60.75778,NA,0.92248,0.89643,0.82674,0.68788,67.4756469726563,75.7434387207031,58.0576591491699,57.4558982849121,57.74145,76.8495025634766,20.4542945163278,NA,NA,NA,NA,NA,4.57790117568134,96.2935982582334,63.6663892156687,2.46837600237408,NA,NA,1.09473913974043,27.6453159508545,NA,NA,NA,70.8129006332752,NA,NA,28.3602344122208,NA,NA,NA,NA,NA,NA,601,79,52,302,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.0049576136925,46.7822086998892,43.9017449658661,NA,80.6175410598487,70.0773187337505,74.9040899292824,57.2219098972,69.7848755384104,63.4096890189131,79.0645840132503,66.9189386895412,72.4809012549106,31.4069740722393,17.0385077590118,23.6183414219802,9201.54957002783,19.2914927242467,111.063393638434,NA,62.79321362837,57.6353031380482,5.18706430363507,901902485,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",2012,6228728.8,26.0698870043293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46714430000,46714430000,3.03758862398136,50.3957611282847,5.19444435182991,3.11726764715204,5.50811621954214,181.550272387522,767113.727307543,0.8275661323411,0.244313865852708,NA,NA,4207.30474861134,NA,NA,58.7206941461048,1.28003020869342,10.2596522585961,20.6571336075327,64.1055747647881,NA,1511250785756.83,1630.34491920234,NA,NA,68.06845,77.50252,72.79502,61.8073,NA,0.9334,0.90972,0.84695,0.71247,68.1046295166016,76.2201080322266,56.8464813232422,55.5519218444824,56.16702,77.4457626342773,21.2951367781155,14.1909843749405,39.7119452798059,NA,NA,NA,4.51168183739591,92.0288996042918,64.9422285714848,2.39021231955062,NA,NA,1.08253631764463,32.5453357225677,NA,NA,NA,70.2857542638981,NA,NA,28.7480208110473,NA,NA,NA,NA,NA,NA,587,81,50,292,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.983423120502,46.8039916434601,43.9035078715702,NA,80.4626434144194,69.610024404472,74.5884796965847,57.491135640395,69.8423788011871,63.5764881236946,78.6659221446746,66.2374472620498,71.9389009560319,30.7822044823601,16.4438694942349,23.0212998833134,9254.50093010474,19.3538813747739,109.207445763522,NA,60.5852841943791,58.2824128818917,5.12239189726927,926951572,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",2013,6200267.7,25.9493750100824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47671100000,47671100000,2.97701506455839,50.0408272607377,6.20367498554225,4.1272421185879,5.6735415666422,176.256750436013,783708.000997384,0.822666074430172,0.233539838684208,NA,NA,NA,NA,NA,64.8661502789362,1.10760755187506,12.3202791101606,20.9969201669634,61.0432262396606,NA,1605034227071.36,1684.82037344323,NA,NA,68.68331,77.85723,73.32431,62.31554,NA,0.93715,0.91579,0.86147,0.7216,68.5195083618164,76.9367370605469,57.3550186157227,54.2870903015137,55.73989,78.1457214355469,22.1711390635919,NA,NA,NA,NA,NA,4.45044950858998,88.1751210845661,65.745480000039,2.32409262504323,NA,NA,1.04842306122292,37.7474448639393,NA,NA,NA,69.1826539864863,NA,35.3866426030596,29.0661220154996,NA,80.8459599921152,48.3612384174964,NA,NA,NA,573,79,50,281,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9118776649884,46.6933425936247,43.8139618639994,NA,79.7441456797684,69.049774041961,73.9650990274295,57.7519070801546,69.8613739781259,63.7205110695842,78.1637262518141,65.8759995288382,71.5233929292253,30.9291458894457,16.3948235063666,23.0750239734922,9412.17825066483,19.3010494743845,107.299311261089,NA,58.5604519899915,58.883198301098,5.05585859392742,952644123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",2014,6171806.5,25.8288681115227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46447200000,46447200000,2.71627454593077,47.4470730955007,6.85732339103513,3.91253156736453,5.83320321211596,171.432395484343,822325.721662229,0.840028002205044,0.229348577902453,55.257657510466,NA,3983.65297386242,NA,NA,69.5488057279415,1.08494291098595,14.6830400486311,21.4631540982365,59.8057959842645,NA,1712640529958.93,1749.50869829136,NA,NA,69.84305,78.39356,74.14565,63.0425,NA,0.93832,0.91833,0.86634,0.71729,68.8831634521484,77.2875671386719,58.1990089416504,53.8675308227539,55.91056,78.4791030883789,22.0223396501458,NA,NA,NA,NA,NA,4.37376044929333,84.6839918671365,66.4847691546746,2.25705770302145,NA,NA,1.03992347987422,43.2107002903494,NA,NA,NA,68.9187381957257,51.3787442861667,NA,29.323804188774,51.5195545100945,NA,NA,58.1760213473188,NA,NA,560,81,49,273,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8986924680296,46.5242429661756,43.7235748792943,NA,79.7492239219247,69.0867776771314,73.9954566300405,57.7708138947815,69.6206035485195,63.6137267099129,78.1089772928133,65.857418121362,71.4977326855546,31.4865250048271,15.985575839554,23.1217996742486,9597.63332301118,19.4445157358799,105.407195768718,29.7909115140894,56.6503712610154,59.4352273964709,4.98802970490347,978926559,24.0747334413678,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (excluding high income)","SSA",2015,6143345.4,25.7083616363707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45772840000,45772840000,2.94409927292547,45.510850870553,7.75352463340169,4.79032148328537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7550438754087,1.05514046935722,18.0637584483891,20.7260319627822,54.619131401985,NA,1671509075790.4,1661.94189124102,NA,NA,70.66957,78.72956,74.74395,63.61612,NA,0.94421,0.92203,0.86524,0.72807,69.3047332763672,77.2440338134766,57.9923782348633,53.6434783935547,55.69589,78.4169464111328,23.5664742553683,NA,NA,NA,NA,NA,4.29473534198471,81.3409282654255,67.5421676950829,2.16034282491995,NA,NA,1.01769762777821,48.6374035242467,NA,NA,NA,69.9332110984775,NA,NA,29.7869049931221,NA,NA,NA,NA,NA,NA,547,83,49,264,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6204948114333,46.1450397858086,43.3957386865749,NA,79.8826861406433,68.8699865759864,73.9455879085369,57.8689844970137,69.553028688948,63.6318934203749,78.1839425382842,65.5693182035451,71.3830173912069,30.920483330685,15.742889728368,22.7378648707638,9611.57241931284,20.1472882089076,103.541382087985,NA,54.8418595971528,59.9378095222685,4.91913708758238,1005756630,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD)","TSS",2006,6423095.9,27.196466790087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38818840000,38818840000,5.04656222035374,49.3228394370151,NA,7.13539809853774,4.95769429650229,201.706668502233,695990.703858024,0.884318999126312,0.330480953183945,NA,NA,NA,NA,NA,17.7277656369018,1.54076619010509,2.70305903873004,17.186243843941,68.0297924213683,NA,726695618093.849,923.332363636454,NA,NA,62.25514,74.57713,68.42556,58.51361,NA,0.89426,0.86754,0.78586,0.70597,64.229248046875,70.7331771850586,57.639720916748,58.8913993835449,58.29742,71.5947036743164,16.6404764922063,NA,NA,NA,NA,NA,5.00395208493988,120.781847787064,59.5363447921813,3.02401721972815,NA,NA,1.28271792552323,6.16657516550945,NA,NA,NA,63.0664726448591,NA,NA,27.0679716398694,NA,NA,NA,NA,NA,NA,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.704749783017,47.7239607534362,44.7191309702755,NA,81.8306549691415,71.7105708160799,76.2876802581839,56.2074140990869,70.2007409287805,63.0962665705267,80.2128694561507,68.6139531153243,73.8599386282815,29.5163718829671,15.9585525413766,22.0903698815825,8269.19691520733,21.9370687799287,119.720566504975,NA,75.5200510853306,53.859527935286,5.47060818769124,787035792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD)","TSS",2007,6388836.4,27.0514063132545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33138530000,33138530000,3.74947401728487,40.9795503640524,NA,3.78073813487895,5.10441823855533,195.908711485802,721088.427042521,0.891707613853853,0.311278769368768,58.5651519738453,NA,5021.60697331132,NA,NA,23.1086656669329,1.53451517575275,3.42200151126783,17.8528593911287,70.1338675545538,NA,833334845282.144,1030.51303912272,NA,NA,62.43023,74.51279,68.44992,58.06473,NA,0.90373,0.87247,0.77737,0.7059,63.9505805969238,73.2035675048828,56.4464988708496,57.5263404846191,57.01355,74.0916900634766,17.3086213493177,NA,NA,NA,NA,NA,4.89532508482327,115.489666798048,60.3700927432777,2.87657398703355,NA,NA,1.21596643636285,9.43793679489233,NA,NA,NA,65.3522068058247,NA,NA,27.3460736143041,NA,NA,NA,NA,NA,NA,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.555238136893,47.5967334674417,44.5808175643419,NA,81.3884899018068,71.2585294516671,75.8514549644629,56.4635822057562,70.2019658705199,63.2267140188747,79.8204677620831,68.2062965785907,73.4720515276372,32.0184120680099,17.4902724536932,24.0773049599544,8592.3799356505,21.3857737360203,118.203340807475,NA,72.7516821913556,54.641524255083,5.41787689672146,808660166,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD)","TSS",2008,6354576.8,26.9063454130052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36211530000,36211530000,3.60601204222663,43.5776546194172,NA,2.93088641780009,5.0639932628432,197.472616588464,754971.649137891,0.908547464677214,0.302941281661756,NA,NA,NA,NA,NA,31.7796794295531,1.49464002913903,3.88049341757968,18.6416288714149,74.2502376202324,NA,956418101017.828,1150.97201576166,NA,NA,62.25486,74.15611,68.15179,57.55084,NA,0.91098,0.88168,0.79629,0.69893,64.5548706054688,74.2004470825195,60.3053817749023,60.6110191345215,60.46507,75.1020202636719,17.8027297193387,NA,NA,NA,NA,NA,4.81888809504788,110.360393932039,61.1889905860842,2.75814999795913,NA,NA,1.16666424890609,13.4877312979865,NA,NA,NA,67.4318795633413,NA,NA,27.6522052359749,NA,NA,NA,NA,NA,NA,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5233567264991,47.5096717426108,44.5215536202991,NA,81.2780943842137,71.0059579269112,75.6765168357812,56.803236097578,70.2581816121609,63.4270434066907,79.7098896026838,67.9313846038339,73.2868436357768,30.738139760539,16.8364144894642,23.1571127762215,8787.05702792642,20.8963018288544,116.463297451062,NA,70.0662308285148,55.4300875634602,5.36372933122245,830965556,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD)","TSS",2009,6320317.3,26.7612849361727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39359080000,39359080000,4.0367385348638,46.0904168245748,NA,3.89353972736021,5.20149237128464,192.252516896997,743994.403343226,0.871235104205691,0.286808939896819,57.1232043308279,NA,NA,NA,NA,37.5181770291066,1.56236072321983,4.59867606715362,18.5029045454517,64.5461236583607,NA,1012901136466.42,1186.13127089918,NA,NA,63.15004,74.79504,69.00154,58.81977,NA,0.91905,0.89009,0.8089,0.70582,67.3330993652344,74.3918991088867,56.3772811889648,56.2484283447266,56.30973,75.4063491821289,18.4685771744595,NA,NA,NA,NA,NA,4.74696270870476,105.40021951515,62.0242100685697,2.6558984447276,NA,NA,1.1277542827681,17.3507749783184,NA,NA,NA,72.0440243968018,NA,NA,27.9424745042361,NA,NA,NA,NA,NA,NA,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.239927795105,47.1209164294064,44.1861808599915,NA,81.3075445683697,70.948850198949,75.6719299414237,56.8768718444083,69.9796614268341,63.3278078097175,79.7306192336024,67.8408214396247,73.2622294385108,30.0383298458781,16.4853504015053,22.664926492893,8830.15889692502,20.3057795605299,114.696516878733,NA,67.5270019341703,56.2043185446082,5.30735375325083,853953657,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sub-Saharan Africa (IDA & IBRD)","TSS",2010,6286057.7,26.615423907282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40322720000,40322720000,3.09840840961287,45.9450964852416,NA,2.50317809367417,5.33731521575321,187.360116383697,746611.911868295,0.850715336857719,0.269016539834103,NA,NA,NA,NA,NA,44.2047899368775,1.46119295112334,6.99257850690158,19.8904178041986,62.1486976564617,NA,1129905516355.45,1287.45327617179,NA,NA,64.07413,75.14307,69.63891,59.18192,NA,0.92467,0.89643,0.82044,0.7032,67.2663116455078,74.2449111938477,55.6359901428223,55.8469581604004,55.7473,75.3106536865234,18.7453670431211,NA,NA,NA,NA,NA,4.65697024152477,100.846819246086,62.8391818609376,2.54504163743945,NA,NA,1.12408756328817,22.4618339394203,NA,NA,NA,72.4314252403124,NA,NA,28.2578541753048,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9664803701856,46.8398892953253,43.9102446420695,NA,80.9887364149944,70.754168074167,75.427708679397,56.9009232055797,69.7915705766367,63.24862398851,79.5551865945489,67.8029862090549,73.1693590940841,30.2961965742388,16.6169197084112,22.8632233175648,9081.78417409126,19.7545129725094,112.894550173527,NA,65.1170747471409,56.943945265329,5.2487092991355,877628367,NA,NA,NA,NA,NA,NA,NA,NA,NA
